gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ddx39b,2944.070247,-0.068351584,0.07616445,-0.897421091,0.369494262,0.649129897
Atp13a3,1762.866468,-0.087893344,0.097923609,-0.897570507,0.369414569,0.649129897
Lmnb2,528.5881677,0.108049914,0.120394625,0.897464599,0.369471055,0.649129897
Tubgcp6,384.0636015,-0.133458933,0.148679608,-0.897627684,0.369384075,0.649129897
Fam219a,2467.563824,-0.072090782,0.080274859,-0.89804931,0.369159262,0.648988687
Tox2,371.7251954,-0.128911481,0.143517027,-0.898231266,0.369062268,0.648892764
Pde7b,259.6654375,-0.147105191,0.16368325,-0.898718655,0.368802538,0.64851066
Camkk1,1381.39784,-0.104024511,0.115705405,-0.899046252,0.368628025,0.648278333
Atn1,559.456053,0.142590094,0.158576165,0.89918995,0.368551493,0.648218284
Prr18,226.0941357,0.150061026,0.166821334,0.899531389,0.368369684,0.648019618
Rtl1,215.0040096,-0.17551868,0.19491885,-0.900470529,0.367869902,0.647391762
Slc9a7,736.5401643,0.107860531,0.119748805,0.900723241,0.367735489,0.647259122
Ccdc187,77.32756065,-0.238736112,0.265058604,-0.900691804,0.367752208,0.647259122
Slc12a7,109.3529025,0.213440514,0.236923152,0.900884999,0.367649468,0.647227272
Src,2293.963107,-0.079863228,0.088579225,-0.901602246,0.367268197,0.646630502
Bend6,2818.871554,0.076561635,0.084884514,0.901950561,0.367083131,0.646499292
Eef1d,1375.212425,0.07810041,0.08658552,0.902003131,0.367055204,0.646499292
Nxt1,215.8754479,0.148366337,0.164503901,0.901901631,0.367109125,0.646499292
Glb1l,129.8952283,-0.196447496,0.217677384,-0.90247086,0.366806794,0.646239812
Alg13,81.97211763,-0.251023331,0.278167555,-0.902417723,0.36683501,0.646239812
3222401L13Rik,81.61511426,-0.239249691,0.264804414,-0.903495854,0.366262788,0.645454807
Ncl,8542.400341,0.06083529,0.067252941,0.904574422,0.365690891,0.645349081
Cul1,3128.891045,0.066648417,0.073696035,0.904369109,0.365799713,0.645349081
Trp53bp1,2953.141584,-0.075077064,0.083056032,-0.90393271,0.366031083,0.645349081
Adam15,1028.293561,-0.088014937,0.097387013,-0.903764622,0.366120225,0.645349081
Mrps26,1028.08155,0.083396826,0.092196239,0.904557798,0.365699702,0.645349081
Tbkbp1,911.9531894,0.109994211,0.121692014,0.9038737,0.366062376,0.645349081
Sfmbt1,647.3708284,-0.095177522,0.105233067,-0.904445007,0.365759482,0.645349081
Chuk,645.4589272,-0.111709663,0.123463935,-0.90479591,0.365573519,0.645349081
Polr2l,629.5295164,0.115661913,0.12791618,0.904200805,0.365888933,0.645349081
Dmap1,576.8419898,0.102854395,0.113763975,0.90410339,0.365940581,0.645349081
Nckipsd,553.9363032,-0.111361228,0.123124045,-0.90446369,0.365749579,0.645349081
Ccdc106,397.9516002,0.136533667,0.151084878,0.903688507,0.366160595,0.645349081
Ptchd1,255.3153599,-0.153592511,0.169957111,-0.903713354,0.366147416,0.645349081
Vasn,96.89324037,0.216698321,0.239534331,0.904664978,0.3656429,0.645349081
Tubb4a,8541.889554,0.093879684,0.103649235,0.905744104,0.365071313,0.644880635
Blvra,187.0628155,0.182718887,0.201760577,0.905622348,0.365135776,0.644880635
Tpmt,150.4779353,-0.181348582,0.200213734,-0.905774935,0.365054991,0.644880635
Ufd1,1615.634301,-0.0773276,0.085327238,-0.906247549,0.364804841,0.644742914
Atp5o,2293.667944,0.089359611,0.09857469,0.906516779,0.364662388,0.644565638
Armh3,621.3230515,0.104005001,0.114637789,0.907248838,0.364275223,0.64404212
Lsm8,613.2154273,0.108662576,0.11975081,0.907405776,0.364192256,0.64404212
Mrto4,532.4799729,0.108012163,0.119056295,0.907236055,0.364281981,0.64404212
Sowahc,407.6194182,0.125999279,0.138858553,0.907392997,0.364199011,0.64404212
Tma16,369.6279547,0.119276293,0.131363252,0.907988276,0.363884416,0.64391841
Rint1,253.4377049,-0.15291874,0.168427428,-0.907920652,0.363920146,0.64391841
Mtfp1,1212.485391,0.091576133,0.100804127,0.908456196,0.363637247,0.643848732
Mpzl1,1017.912302,0.086115087,0.09478716,0.908510047,0.363608808,0.643848732
Imp3,493.6117285,0.111888839,0.123185059,0.908298782,0.363720386,0.643848732
Haus6,212.4263581,0.163702303,0.180164979,0.908624437,0.363548403,0.643848732
Zfat,201.097809,0.162834228,0.179296847,0.908182328,0.363781899,0.643848732
Zfp354b,93.92981416,-0.23774572,0.261759469,-0.908260246,0.363740741,0.643848732
Gm14066,86.73958119,0.252672383,0.278224521,0.908160008,0.36379369,0.643848732
Pqlc1,508.0490483,0.123289846,0.135669108,0.908754011,0.363479987,0.643815085
1110051M20Rik,1314.464353,0.085219356,0.093730861,0.909192071,0.363248749,0.643504739
2510039O18Rik,787.5116888,0.090344166,0.099352389,0.909330585,0.363175651,0.643504739
Mon1b,730.9296154,-0.100285411,0.110292854,-0.909264811,0.363210361,0.643504739
Dhdh,75.38603307,0.253029593,0.278309673,0.909165644,0.363262696,0.643504739
Sept11,4841.108503,-0.075270691,0.082738321,-0.90974399,0.362957539,0.643335781
Tti1,507.4613889,-0.10598633,0.116511347,-0.909665301,0.362999049,0.643335781
Aig1,1009.955058,-0.086974836,0.095582706,-0.909943225,0.362852452,0.643225056
Zfp707,273.953923,-0.151937043,0.166927549,-0.910197528,0.362718348,0.64306187
Mapk3,3656.856355,0.07380153,0.081066438,0.910383285,0.36262041,0.642962774
Ehd3,2267.581344,0.06722147,0.073825459,0.910545905,0.362534684,0.642959865
Dennd1a,972.6116375,-0.086272191,0.094717788,-0.910834098,0.362382793,0.642765027
Slc16a1,685.5947674,0.136705712,0.150065122,0.910975911,0.362308066,0.642707024
Ypel3,3223.934253,0.186190857,0.204356383,0.911108595,0.362238158,0.642657559
Odf2,1905.117709,0.0807408,0.088577598,0.911526187,0.362018194,0.642341831
Kdm4c,876.7322186,0.087455257,0.095901349,0.91192938,0.361805894,0.642039631
Vps37c,557.4373353,-0.108483899,0.11891707,-0.912265146,0.361629157,0.641874966
Cdr2l,338.4848989,-0.131391191,0.144003226,-0.91241838,0.361548518,0.641806324
C730002L08Rik,89.75588862,0.22823354,0.250129419,0.912461801,0.361525669,0.641806324
Mrrf,439.575985,0.120736956,0.132237194,0.913033259,0.36122505,0.641512201
Ccna2,215.552263,-0.20122568,0.220407155,-0.912972537,0.361256986,0.641512201
Jund,997.606943,-0.087164021,0.095442483,-0.913262288,0.361104612,0.641390572
Gid8,887.8364217,-0.08969767,0.098163167,-0.913760962,0.360842463,0.641045637
Nup35,277.0571694,-0.137546781,0.150536346,-0.913711433,0.360868495,0.641045637
